5217	81	32	10	13
10977	83	38	.	14
2150	25	12	.	2
20143	90	35	7	17
10708	78	27	9	16
19248	46	21	6	6
8543	52	18	5	7
16661	25	10	4	1
17291	71	29	.	14
8475	77	20	7	15
13101	70	33	8	13
16389	64	18	8	13
9886	10	1	9	0
7054	56	20	9	15
4700	92	31	6	18
897	71	25	9	13
13601	50	25	7	12
10719	89	24	7	15
16993	89	37	6	18
15272	72	29	7	9
19778	74	29	8	19
19610	23	11	9	0
517	27	12	6	.
9304	83	35	10	19
2315	31	17	8	7
12838	46	17	8	8
12988	91	36	11	15
7579	85	23	5	15
8170	58	28	9	12
11378	81	33	10	15
16583	76	21	9	13
6779	48	26	7	8
629	52	17	.	5
20092	64	19	3	14
3021	76	38	8	12
17396	33	23	8	8
19177	45	14	6	8
1260	84	31	10	15
6099	85	19	.	8
1933	59	18	4	13
7926	72	30	8	18
20004	88	39	3	16
5085	95	35	8	18
3948	75	25	6	18
19137	67	30	6	15
1578	34	12	7	6
5883	54	21	10	12
12426	79	22	5	14
18291	87	34	.	18
13655	86	34	8	15
959	52	26	9	7
13945	92	34	11	20
15856	55	23	6	14
16387	77	17	8	10
20510	67	23	8	11
11949	57	21	5	13
20593	88	20	5	18
549	78	22	4	19
12854	46	22	.	13
8312	92	37	6	19
17903	82	31	.	15
18228	86	30	.	17
13614	80	27	8	14
9551	44	15	4	8
7908	39	17	8	6
18950	86	26	6	15
2966	48	21	8	8
13621	29	11	6	3
12865	47	23	7	9
4984	41	9	.	7
8751	42	14	3	8
20970	31	16	8	5
6829	44	22	9	13
3525	41	15	6	8
21248	78	26	9	16
15243	89	23	.	14
8434	65	23	7	12
19854	41	15	6	8
18718	65	24	6	10
10323	54	22	6	13
20127	38	15	.	6
4152	78	32	8	17
9018	47	14	5	6
14610	86	24	8	17
13737	83	36	6	17
14438	85	32	6	17
3455	87	32	9	15
9858	58	30	7	10
17256	59	24	12	13
19103	74	21	7	16
20017	94	36	4	17
15420	22	11	.	4
8267	83	31	6	15
21255	53	21	.	10
7964	83	31	5	17
13453	80	29	9	17
16731	39	17	10	10
16023	49	24	4	10
17789	41	14	9	11
18864	69	24	8	8
19108	56	20	8	15
13339	29	6	6	5
826	85	20	4	18
3222	95	34	12	18
4035	80	26	13	12
13446	71	27	6	14
9738	99	41	.	19
6827	66	31	8	12
15729	81	24	6	18
14044	26	10	.	6
6426	77	25	8	10
14752	94	28	9	17
5123	55	19	7	11
1379	45	25	9	5
4852	16	4	7	2
7495	30	15	.	7
3367	86	29	7	15
4095	94	43	11	13
2444	90	32	10	17
19280	76	29	7	15
15772	70	26	.	13
5193	75	34	9	14
3608	93	33	11	16
11258	73	24	8	14
2102	77	26	7	15
19341	72	31	9	13
702	76	33	6	16
20418	51	22	.	12
12289	88	26	6	12
3906	63	23	8	16
19656	42	14	7	8
11623	52	19	8	10
1362	92	37	11	17
15029	56	18	6	12
17289	61	25	6	16
94	49	17	8	8
7852	82	27	7	13
5857	67	21	8	14
7166	93	41	10	19
16515	14	3	4	1
8181	67	20	.	15
15389	74	33	10	14
6064	78	25	5	13
16151	86	25	7	17
2068	85	39	12	15
21040	66	40	12	12
5316	88	29	7	17
114	97	39	11	18
19899	60	22	7	15
10533	43	13	7	5
17509	83	27	7	15
18450	16	4	5	4
6600	87	35	7	20
13417	35	18	6	7
21182	36	14	.	3
12319	86	37	10	17
2080	44	18	.	12
1715	70	30	10	17
1019	62	25	.	10
3129	58	24	8	10
71	66	24	11	20
5125	92	27	8	17
4228	81	35	10	15
13134	86	29	.	14
18248	62	29	8	16
15229	90	36	12	17
12317	50	21	6	12
7557	23	10	8	1
8618	40	14	.	8
6563	42	18	7	6
14348	69	29	8	11
1185	82	24	7	15
7252	32	15	10	5
10177	89	40	10	17
8748	79	29	7	13
7164	75	25	7	10
7592	89	33	8	16
9623	38	14	6	10
7012	34	16	7	7
18510	31	15	3	2
16299	76	30	9	16
1820	57	24	.	11
1564	46	20	5	12
12253	54	24	8	9
8116	84	34	8	16
3106	84	37	10	16
17652	45	23	6	10
18112	80	28	6	18
6845	30	16	.	6
19727	27	10	.	.
17834	89	40	.	17
9766	15	4	6	0
16814	83	30	8	18
15347	69	21	6	15
2007	69	29	7	11
17090	57	32	.	16
12137	82	23	9	19
12115	80	40	9	17
19032	89	32	7	18
10010	65	20	.	14
15268	82	36	7	19
5005	84	28	9	15
10959	88	33	8	15
18083	22	10	8	0
7214	28	10	7	10
15682	63	28	5	14
20482	62	19	.	15
15754	83	34	9	13
660	89	32	10	17
18942	74	29	8	13
11759	86	22	5	11
4341	56	17	6	9
8445	53	19	8	8
11339	43	20	6	9
21273	31	12	5	5
38	52	21	6	11
5547	85	32	9	18
4376	88	24	6	18
11374	58	28	4	13
13755	25	11	7	0
11705	89	30	.	16
1003	49	17	7	16
521	73	35	9	15
2415	80	22	12	16
8345	13	9	8	0
12238	76	32	8	19
15308	76	34	8	17
1560	94	28	7	8
17337	96	31	8	19
7022	57	15	6	13
3712	48	24	9	5
2738	44	22	.	10
9131	77	25	9	15
8627	64	28	6	8
18299	85	34	9	15
15074	94	35	6	18
19472	67	28	6	14
804	67	27	3	12
19812	90	28	6	18
11365	83	25	7	14
2318	38	19	6	12
19309	77	25	.	10
761	78	27	6	17
4861	97	40	7	17
6133	82	25	2	15
2286	96	39	8	17
4067	61	22	6	14
12595	83	32	7	16
17682	51	23	7	10
17577	85	41	11	18
11886	99	35	6	17
18473	53	20	7	14
15873	66	15	5	17
15876	97	37	10	18
9168	53	21	5	10
20560	44	15	.	7
1039	67	33	6	19
11534	43	19	5	9
11450	83	29	10	16
2039	94	39	.	17
6393	73	30	8	7
