    43.000    18.000         *    14.000         *   118.000     0.435     0.535     0.000     0.030     2.000   386
    55.000    26.000     9.000     9.000   104.000   118.000     0.809     0.191     0.000     0.000     1.000   402
    45.000    23.000     8.000    16.000   103.000   118.000     0.121     0.879     0.000     0.000     2.000   403
    53.000    23.000         *    12.000         *   124.000     0.573     0.232     0.000     0.195     1.000   405
    48.000    23.000         *     9.000         *   121.000     0.835     0.089     0.000     0.076     1.000   415
    88.000    25.000     8.000    16.000   106.000   122.000     0.000     0.322     0.677     0.000     3.000   421
    88.000    29.000     7.000    17.000   108.000   118.000     0.005     0.121     0.873     0.001     3.000   422
    45.000    12.000     9.000     7.000   100.000   116.000     0.986     0.014     0.000     0.000     1.000   425
    31.000    13.000     5.000     5.000   119.000   118.000     0.000     0.000     0.000     1.000     4.000   426
    82.000    29.000     8.000    17.000   101.000   114.000     0.028     0.195     0.778     0.000     3.000   435
    47.000    27.000     6.000    13.000   103.000   119.000     0.083     0.917     0.000     0.000     2.000   436
    93.000    36.000     9.000    18.000   100.000   121.000     0.006     0.032     0.962     0.000     3.000   437
    96.000    39.000     8.000    19.000   101.000   117.000     0.016     0.029     0.955     0.000     3.000   451
    74.000    24.000     6.000    12.000   103.000   116.000     0.071     0.924     0.005     0.000     2.000   460
    54.000    23.000     8.000    11.000   112.000   124.000     0.001     0.000     0.000     0.999     4.000   464
    51.000    19.000     6.000    12.000   100.000   121.000     0.722     0.278     0.000     0.000     1.000   468
    35.000    18.000     6.000     7.000   103.000   114.000     0.989     0.011     0.000     0.000     1.000   471
    88.000    31.000     7.000     9.000   103.000   116.000     0.001     0.999     0.000     0.000     2.000   483
    50.000    23.000     8.000    12.000   102.000   116.000     0.709     0.291     0.000     0.000     1.000   492
    24.000     8.000     6.000     6.000   119.000   126.000     0.000     0.000     0.000     1.000     4.000   499
    81.000    23.000     8.000    16.000   121.000   123.000     0.000     0.000     0.000     1.000     4.000   506
    36.000    14.000     5.000     2.000   103.000   123.000     1.000     0.000     0.000     0.000     1.000   508
    75.000    33.000         *    12.000         *   136.000     0.011     0.047     0.000     0.941     4.000   513
    82.000    32.000     8.000    14.000   105.000   120.000     0.072     0.705     0.224     0.000     2.000   519
    92.000    27.000    10.000    13.000   102.000   120.000     0.000     0.978     0.022     0.000     2.000   522
    33.000    17.000     7.000     3.000   102.000   115.000     1.000     0.000     0.000     0.000     1.000   524
    78.000    33.000    11.000    15.000   102.000   117.000     0.139     0.616     0.245     0.000     2.000   527
    77.000    31.000     7.000    14.000   103.000   117.000     0.157     0.714     0.129     0.000     2.000   533
    84.000    33.000    10.000    11.000   101.000   119.000     0.015     0.983     0.001     0.000     2.000   541
    50.000    16.000     5.000     7.000   103.000   118.000     0.961     0.039     0.000     0.000     1.000   545
    40.000    19.000     7.000     8.000   109.000   121.000     0.917     0.016     0.000     0.067     1.000   546
    92.000    31.000     9.000    17.000   102.000   114.000     0.002     0.095     0.903     0.000     3.000   547
    54.000    24.000     8.000     5.000   102.000   118.000     0.957     0.043     0.000     0.000     1.000   555
    84.000    26.000     6.000    17.000   105.000   116.000     0.004     0.135     0.860     0.000     3.000   563
    42.000    19.000     3.000     9.000   104.000   119.000     0.892     0.108     0.000     0.000     1.000   571
    20.000    10.000     7.000     5.000   103.000   117.000     1.000     0.000     0.000     0.000     1.000   572
    72.000    27.000     4.000    17.000   102.000   118.000     0.309     0.454     0.237     0.000     2.000   577
    56.000    20.000     5.000    10.000   101.000   116.000     0.747     0.253     0.000     0.000     1.000   605
    50.000    21.000         *     7.000         *   116.000     0.954     0.034     0.000     0.011     1.000   619
    42.000    27.000     5.000    11.000   104.000   116.000     0.029     0.971     0.000     0.000     2.000   621
    54.000    26.000     9.000     8.000   104.000   115.000     0.833     0.167     0.000     0.000     1.000   622
    69.000    23.000     8.000    13.000   119.000   119.000     0.000     0.000     0.000     1.000     4.000   625
    88.000    36.000     8.000    18.000   102.000   119.000     0.024     0.052     0.924     0.000     3.000   633
    46.000    16.000     6.000    18.000   115.000   123.000     0.000     0.000     0.000     1.000     4.000   638
    83.000    39.000    10.000    17.000   103.000   121.000     0.037     0.215     0.748     0.000     3.000   642
    68.000    22.000    10.000    15.000   108.000   125.000     0.081     0.894     0.001     0.025     2.000   649
    51.000    32.000    11.000    11.000   103.000   115.000     0.069     0.931     0.000     0.000     2.000   651
    49.000    24.000     7.000    12.000   102.000   114.000     0.549     0.451     0.000     0.000     1.000   654
    92.000    25.000     5.000    19.000   102.000   118.000     0.000     0.051     0.949     0.000     3.000   674
    44.000    21.000     7.000    13.000   111.000   131.000     0.001     0.001     0.000     0.998     4.000   675
    80.000    34.000     8.000    18.000   102.000   117.000     0.175     0.286     0.539     0.000     3.000   680
    83.000    36.000     8.000    12.000   101.000   118.000     0.024     0.964     0.011     0.000     2.000   689
    84.000    34.000     9.000    18.000   102.000   124.000     0.067     0.157     0.776     0.000     3.000   699
    51.000    22.000    11.000     7.000   102.000   117.000     0.987     0.013     0.000     0.000     1.000   706
    91.000    31.000         *    17.000         *   121.000     0.002     0.072     0.898     0.027     3.000   711
    49.000    21.000     9.000     9.000   102.000   117.000     0.958     0.042     0.000     0.000     1.000   718
    66.000    26.000     5.000    16.000   105.000   119.000     0.376     0.620     0.004     0.000     2.000   727
    81.000    24.000     4.000    14.000   103.000   115.000     0.010     0.560     0.429     0.000     2.000   737
    63.000    38.000         *    16.000         *   135.000     0.001     0.187     0.000     0.812     4.000   739
    59.000    27.000     6.000    13.000   104.000   118.000     0.386     0.614     0.000     0.000     2.000   744
    68.000    28.000     6.000    12.000   103.000   118.000     0.320     0.679     0.001     0.000     2.000   745
    64.000    24.000     8.000     8.000   116.000   128.000     0.000     0.000     0.000     1.000     4.000   748
    39.000    13.000     7.000     3.000   113.000   114.000     0.002     0.000     0.000     0.998     4.000   767
    33.000    14.000     5.000     7.000   106.000   120.000     0.997     0.003     0.000     0.000     1.000   777
    81.000    23.000     8.000    14.000   102.000   114.000     0.002     0.844     0.154     0.000     2.000   782
    59.000    23.000     9.000     6.000   107.000   117.000     0.891     0.109     0.000     0.000     1.000   789
    45.000    20.000     8.000         *   100.000   117.000     0.921     0.079     0.000     0.000     1.000   790
    77.000    31.000     8.000    12.000   100.000   118.000     0.105     0.888     0.007     0.000     2.000   793
    12.000     3.000     8.000     0.000   102.000   120.000     1.000     0.000     0.000     0.000     1.000   802
    76.000    36.000     6.000    18.000   102.000   120.000     0.183     0.535     0.282     0.000     2.000   808
    80.000    23.000     8.000    13.000   102.000   114.000     0.003     0.961     0.036     0.000     2.000   810
    57.000    21.000    10.000     9.000   104.000   115.000     0.864     0.136     0.000     0.000     1.000   813
    25.000    14.000         *         *         *   127.000     0.548     0.002     0.000     0.451     1.000   823
    56.000    19.000     7.000    11.000   102.000   115.000     0.669     0.331     0.000     0.000     1.000   829
    59.000    20.000     7.000     9.000   105.000   116.000     0.700     0.300     0.000     0.000     1.000   832
    29.000     9.000     6.000     3.000   102.000   118.000     1.000     0.000     0.000     0.000     1.000   836
    29.000    12.000     5.000     9.000   102.000   115.000     0.981     0.019     0.000     0.000     1.000   842
    45.000    18.000     5.000     9.000   107.000   115.000     0.939     0.061     0.000     0.000     1.000   843
    91.000    31.000     6.000    18.000   104.000   120.000     0.005     0.041     0.954     0.000     3.000   849
    72.000    26.000     8.000    16.000   117.000   119.000     0.000     0.000     0.000     1.000     4.000   850
    66.000    30.000     9.000    11.000   101.000   122.000     0.376     0.624     0.000     0.000     2.000   853
    74.000    21.000     9.000    14.000   102.000   116.000     0.008     0.965     0.027     0.000     2.000   858
    91.000    28.000     7.000    19.000   101.000   114.000     0.001     0.061     0.938     0.000     3.000   859
    76.000    29.000     7.000    12.000   102.000   117.000     0.118     0.876     0.006     0.000     2.000   871
    84.000    24.000     9.000    15.000   104.000   119.000     0.001     0.610     0.390     0.000     2.000   883
    86.000    23.000         *    11.000         *   120.000     0.000     0.949     0.000     0.050     2.000   884
    78.000    27.000         *    14.000         *   117.000     0.064     0.745     0.166     0.025     2.000   895
    50.000    21.000     8.000    11.000   102.000   124.000     0.872     0.128     0.000     0.000     1.000   899
    52.000    17.000     7.000     6.000   104.000   113.000     0.966     0.034     0.000     0.000     1.000   902
    45.000    13.000     8.000     9.000   104.000   125.000     0.953     0.047     0.000     0.000     1.000   912
    56.000    18.000     7.000    13.000   116.000   125.000     0.000     0.000     0.000     1.000     4.000   921
    80.000    26.000     8.000    10.000   103.000   117.000     0.008     0.992     0.000     0.000     2.000   923
    51.000    17.000     8.000         *   104.000   119.000     0.788     0.212     0.000     0.000     1.000   925
    93.000    30.000     7.000    15.000   104.000   119.000     0.002     0.569     0.429     0.000     2.000   930
    90.000    40.000     9.000    13.000   100.000   118.000     0.007     0.927     0.066     0.000     2.000   931
    54.000    16.000     8.000    12.000   105.000   116.000     0.437     0.563     0.000     0.000     2.000   934
    83.000    26.000         *    15.000         *   115.000     0.007     0.436     0.549     0.008     3.000   941
    95.000    29.000     7.000    16.000   103.000   117.000     0.001     0.373     0.627     0.000     3.000   944
    84.000    23.000     7.000    14.000   100.000   122.000     0.001     0.791     0.209     0.000     2.000   950
    55.000    19.000         *    10.000         *   121.000     0.694     0.177     0.000     0.129     1.000   953
    61.000    22.000     6.000    17.000   102.000   117.000     0.238     0.761     0.000     0.000     2.000   961
    83.000    28.000     7.000    15.000   102.000   114.000     0.018     0.403     0.579     0.000     3.000   967
    72.000    27.000     5.000    13.000   102.000   117.000     0.244     0.734     0.023     0.000     2.000   968
    88.000    27.000     7.000    13.000   101.000   117.000     0.002     0.959     0.039     0.000     2.000   980
    35.000    15.000     3.000    10.000   102.000   114.000     0.884     0.116     0.000     0.000     1.000   990
    54.000    23.000     6.000    11.000   102.000   120.000     0.731     0.269     0.000     0.000     1.000   991
    33.000    12.000     6.000     4.000   103.000   114.000     1.000     0.000     0.000     0.000     1.000   995
    73.000    24.000     7.000    14.000   104.000   116.000     0.095     0.868     0.037     0.000     2.000  1024
    70.000    34.000    10.000    14.000   103.000   114.000     0.141     0.853     0.005     0.000     2.000  1026
    46.000    12.000     5.000     6.000   104.000   118.000     0.983     0.017     0.000     0.000     1.000  1042
    96.000    32.000     8.000    15.000   103.000   119.000     0.002     0.683     0.315     0.000     2.000  1052
    89.000    36.000     9.000    12.000   107.000   119.000     0.008     0.987     0.005     0.000     2.000  1055
    58.000    25.000     7.000     5.000   104.000   118.000     0.845     0.155     0.000     0.000     1.000  1059
    84.000    24.000     8.000    19.000   101.000   117.000     0.001     0.287     0.712     0.000     3.000  1079
    38.000    18.000     7.000     5.000   107.000   117.000     0.999     0.001     0.000     0.000     1.000  1084
    12.000     5.000     5.000     1.000   103.000   121.000     1.000     0.000     0.000     0.000     1.000  1085
    54.000    14.000     6.000     9.000   102.000   116.000     0.592     0.408     0.000     0.000     1.000  1093
    77.000    32.000     8.000    14.000   102.000   119.000     0.158     0.740     0.103     0.000     2.000  1104
    91.000    31.000     9.000    19.000   102.000   117.000     0.004     0.058     0.938     0.000     3.000  1119
    43.000    19.000     7.000    14.000   102.000   122.000     0.444     0.556     0.000     0.000     2.000  1120
    49.000    17.000     5.000    12.000   103.000   118.000     0.690     0.310     0.000     0.000     1.000  1126
    60.000    36.000     9.000    15.000   102.000   119.000     0.007     0.993     0.000     0.000     2.000  1129
    76.000    25.000     5.000    17.000   104.000   118.000     0.075     0.405     0.520     0.000     3.000  1135
   100.000    33.000     8.000    18.000   102.000   117.000     0.001     0.136     0.862     0.000     3.000  1142
    41.000    21.000     9.000    10.000   101.000   114.000     0.927     0.073     0.000     0.000     1.000  1147
    89.000    24.000     6.000    15.000   104.000   114.000     0.000     0.581     0.418     0.000     2.000  1154
    57.000    27.000     4.000    12.000   103.000   124.000     0.351     0.649     0.000     0.000     2.000  1157
    37.000    17.000     9.000     4.000   101.000   116.000     1.000     0.000     0.000     0.000     1.000  1169
    95.000    38.000     9.000    16.000   103.000   123.000     0.007     0.150     0.843     0.000     3.000  1170
    85.000    30.000     8.000    16.000   100.000   117.000     0.012     0.177     0.812     0.000     3.000  1171
    81.000    32.000     6.000    10.000   101.000   116.000     0.020     0.980     0.000     0.000     2.000  1194
    80.000    34.000    11.000    19.000   106.000   106.000     0.256     0.386     0.358     0.000     2.000  1223
    69.000    27.000     8.000    11.000   102.000   117.000     0.301     0.699     0.000     0.000     2.000  1228
    81.000    30.000     8.000    20.000   102.000   117.000     0.267     0.456     0.277     0.000     2.000  1230
    49.000    19.000     7.000     9.000   107.000   118.000     0.943     0.057     0.000     0.000     1.000  1232
    84.000    33.000     8.000    17.000   102.000   115.000     0.036     0.122     0.842     0.000     3.000  1245
    88.000    31.000     9.000     8.000   109.000   120.000     0.001     0.983     0.000     0.017     2.000  1254
    68.000    29.000     9.000    19.000   103.000   117.000     0.330     0.670     0.000     0.000     2.000  1256
    94.000    28.000    12.000    19.000   102.000   117.000     0.000     0.051     0.949     0.000     3.000  1257
    88.000    34.000     8.000    14.000   117.000   117.000     0.000     0.000     0.000     1.000     4.000  1259
    86.000    34.000     9.000    15.000   106.000   120.000     0.032     0.382     0.586     0.000     3.000  1261
    59.000    30.000     9.000    13.000   104.000   122.000     0.296     0.704     0.000     0.000     2.000  1265
    63.000    28.000     8.000    12.000   103.000   114.000     0.409     0.591     0.000     0.000     2.000  1267
    87.000    30.000         *    15.000         *   118.000     0.009     0.343     0.627     0.021     3.000  1271
    50.000    19.000     7.000    11.000   103.000   115.000     0.833     0.167     0.000     0.000     1.000  1276
    97.000    36.000    10.000    19.000   102.000   124.000     0.003     0.027     0.970     0.000     3.000  1291
