12	104	114	50	17	7	6
16	102	123	51	22	4	14
17	102	117	42	21	7	10
18	104	114	38	9	4	8
19	108	119	45	17	7	10
34	101	114	28	13	6	8
39	104	117	76	30	10	13
44	103	115	64	33	10	12
46	104	118	55	18	7	12
53	102	125	69	20	5	13
67	104	117	66	26	6	7
88	102	119	83	30	7	15
95	105	114	24	7	6	9
99	107	117	29	10	8	0
107	104	117	84	32	8	16
109	100	121	60	27	8	12
110	103	117	71	25	7	13
111	102	117	82	37	7	17
115	108	123	59	23	6	10
119	106	122	57	23	6	13
133	100	123	39	13	7	9
139	.	117	61	24	.	8
145	102	118	92	32	11	18
149	103	117	45	21	8	13
152	101	128	90	30	7	13
156	102	122	96	32	7	14
159	106	116	30	14	7	3
164	106	117	89	28	6	10
174	103	119	65	30	8	8
180	102	121	59	23	11	8
182	.	122	0	3	.	0
185	106	119	36	14	5	7
201	102	116	75	25	8	16
213	107	114	53	24	13	9
221	101	114	52	22	9	9
237	103	116	66	28	10	14
244	102	119	78	30	3	16
249	100	118	76	30	6	11
250	103	122	65	30	8	12
261	102	116	51	22	9	12
277	102	119	86	30	7	15
278	102	115	49	18	9	7
284	102	121	56	19	9	10
289	111	124	88	30	8	13
293	101	113	73	20	4	17
304	109	117	92	31	8	20
310	.	125	53	21	.	12
316	.	109	36	13	.	5
320	102	121	66	25	5	18
325	102	118	78	38	11	14
337	.	114	39	13	.	6
341	101	117	81	32	.	17
351	123	119	93	42	12	20
356	103	121	88	29	5	17
357	103	117	59	24	8	12
366	103	119	94	27	7	19
374	102	120	25	12	6	3
376	100	123	25	14	7	3
377	106	122	54	23	7	9
380	.	124	96	24	.	19
386	.	118	43	18	.	14
402	104	118	55	26	9	9
403	103	118	45	23	8	16
405	.	124	53	23	.	12
415	.	121	48	23	.	9
421	106	122	88	25	8	16
422	108	118	88	29	7	17
425	100	116	45	12	9	7
426	119	118	31	13	5	5
435	101	114	82	29	8	17
436	103	119	47	27	6	13
437	100	121	93	36	9	18
451	101	117	96	39	8	19
460	103	116	74	24	6	12
464	112	124	54	23	8	11
468	100	121	51	19	6	12
471	103	114	35	18	6	7
483	103	116	88	31	7	9
492	102	116	50	23	8	12
499	119	126	24	8	6	6
506	121	123	81	23	8	16
508	103	123	36	14	5	2
513	.	136	75	33	.	12
519	105	120	82	32	8	14
522	102	120	92	27	10	13
524	102	115	33	17	7	3
527	102	117	78	33	11	15
533	103	117	77	31	7	14
541	101	119	84	33	10	11
545	103	118	50	16	5	7
546	109	121	40	19	7	8
547	102	114	92	31	9	17
555	102	118	54	24	8	5
563	105	116	84	26	6	17
571	104	119	42	19	3	9
572	103	117	20	10	7	5
577	102	118	72	27	4	17
605	101	116	56	20	5	10
619	.	116	50	21	.	7
621	104	116	42	27	5	11
622	104	115	54	26	9	8
625	119	119	69	23	8	13
633	102	119	88	36	8	18
638	115	123	46	16	6	18
642	103	121	83	39	10	17
649	108	125	68	22	10	15
651	103	115	51	32	11	11
654	102	114	49	24	7	12
674	102	118	92	25	5	19
675	111	131	44	21	7	13
680	102	117	80	34	8	18
689	101	118	83	36	8	12
699	102	124	84	34	9	18
706	102	117	51	22	11	7
711	.	121	91	31	.	17
718	102	117	49	21	9	9
727	105	119	66	26	5	16
737	103	115	81	24	4	14
739	.	135	63	38	.	16
744	104	118	59	27	6	13
745	103	118	68	28	6	12
748	116	128	64	24	8	8
767	113	114	39	13	7	3
777	106	120	33	14	5	7
782	102	114	81	23	8	14
789	107	117	59	23	9	6
790	100	117	45	20	8	.
793	100	118	77	31	8	12
802	102	120	12	3	8	0
808	102	120	76	36	6	18
810	102	114	80	23	8	13
813	104	115	57	21	10	9
823	.	127	25	14	.	.
829	102	115	56	19	7	11
832	105	116	59	20	7	9
836	102	118	29	9	6	3
842	102	115	29	12	5	9
843	107	115	45	18	5	9
849	104	120	91	31	6	18
850	117	119	72	26	8	16
853	101	122	66	30	9	11
858	102	116	74	21	9	14
859	101	114	91	28	7	19
871	102	117	76	29	7	12
883	104	119	84	24	9	15
884	.	120	86	23	.	11
895	.	117	78	27	.	14
899	102	124	50	21	8	11
902	104	113	52	17	7	6
912	104	125	45	13	8	9
921	116	125	56	18	7	13
923	103	117	80	26	8	10
925	104	119	51	17	8	.
930	104	119	93	30	7	15
931	100	118	90	40	9	13
934	105	116	54	16	8	12
941	.	115	83	26	.	15
944	103	117	95	29	7	16
950	100	122	84	23	7	14
953	.	121	55	19	.	10
961	102	117	61	22	6	17
967	102	114	83	28	7	15
968	102	117	72	27	5	13
980	101	117	88	27	7	13
990	102	114	35	15	3	10
991	102	120	54	23	6	11
995	103	114	33	12	6	4
1024	104	116	73	24	7	14
1026	103	114	70	34	10	14
1042	104	118	46	12	5	6
1052	103	119	96	32	8	15
1055	107	119	89	36	9	12
1059	104	118	58	25	7	5
1079	101	117	84	24	8	19
1084	107	117	38	18	7	5
1085	103	121	12	5	5	1
1093	102	116	54	14	6	9
1104	102	119	77	32	8	14
1119	102	117	91	31	9	19
1120	102	122	43	19	7	14
1126	103	118	49	17	5	12
1129	102	119	60	36	9	15
1135	104	118	76	25	5	17
1142	102	117	100	33	8	18
1147	101	114	41	21	9	10
1154	104	114	89	24	6	15
1157	103	124	57	27	4	12
1169	101	116	37	17	9	4
1170	103	123	95	38	9	16
1171	100	117	85	30	8	16
1194	101	116	81	32	6	10
1223	106	106	80	34	11	19
1228	102	117	69	27	8	11
1230	102	117	81	30	8	20
1232	107	118	49	19	7	9
1245	102	115	84	33	8	17
1254	109	120	88	31	9	8
1256	103	117	68	29	9	19
1257	102	117	94	28	12	19
1259	117	117	88	34	8	14
1261	106	120	86	34	9	15
1265	104	122	59	30	9	13
1267	103	114	63	28	8	12
1271	.	118	87	30	.	15
1276	103	115	50	19	7	11
1291	102	124	97	36	10	19
1295	121	133	42	18	7	12
1303	102	114	36	14	5	11
1308	.	125	97	37	.	18
1309	102	117	81	17	8	18
1322	101	118	45	19	7	9
1330	103	119	82	40	9	17
1333	108	120	97	27	8	19
1337	117	118	79	36	13	16
1338	104	125	40	12	6	9
1339	103	114	59	32	7	9
1341	103	116	61	28	6	13
1343	103	117	50	21	6	10
1356	101	118	48	21	8	10
1359	103	118	38	15	7	5
1363	101	123	58	15	7	12
1365	102	117	73	30	9	12
1366	.	115	60	24	.	10
1368	102	123	84	36	8	15
1371	102	125	93	41	10	19
1372	104	120	32	18	7	9
1373	103	118	79	32	7	11
1391	99	119	77	26	7	17
1396	106	120	75	32	11	15
1403	102	117	62	24	6	13
1404	101	115	61	29	7	13
1418	102	127	92	32	10	19
1422	110	140	91	31	7	18
1429	104	117	81	30	11	16
1446	101	127	93	37	.	18
1453	104	119	60	24	8	10
1458	104	114	47	21	5	9
1469	105	125	69	24	6	10
1476	102	118	40	14	7	7
1480	99	115	81	28	6	17
1481	104	119	71	32	8	9
1484	100	122	81	37	7	15
1494	.	117	86	22	.	17
1496	104	114	27	11	9	2
1497	.	121	79	31	.	13
1515	105	124	38	16	7	7
1521	104	115	80	29	7	9
1522	106	117	78	34	7	15
1535	.	128	44	22	.	6
1544	100	117	53	27	8	10
1566	103	126	52	27	5	13
1575	118	120	78	33	7	12
1576	105	118	63	34	7	12
1584	103	118	77	36	8	18
1585	101	119	93	27	9	17
1588	104	117	48	18	6	12
1593	.	114	54	14	.	9
1596	104	114	91	30	7	19
1605	101	115	87	31	8	15
1609	103	116	54	29	9	13
1611	102	124	55	22	9	11
1619	101	117	78	34	7	15
1627	103	113	79	24	7	14
1636	.	132	85	33	.	14
1642	101	137	54	23	5	9
1650	103	117	93	32	9	17
